epoch,train_loss,train_miou,train_dice,train_pixel_acc,train_cls_acc,train_precision,train_recall,train_f1,val_loss,val_miou,val_dice,val_pixel_acc,val_cls_acc,val_precision,val_recall,val_f1
1,0.8595,0.1030,0.1965,0.6227,0.4919,0.4204,0.4919,0.4389,1.0036,0.1559,0.0002,0.9305,0.5584,0.3119,0.5584,0.4002
2,0.7288,0.1987,0.3288,0.8460,0.4903,0.4414,0.4903,0.4587,0.8025,0.2492,0.2550,0.9292,0.3117,0.3452,0.3117,0.2819
3,0.6425,0.2615,0.4058,0.8837,0.5552,0.5178,0.5552,0.5133,1.0467,0.1236,0.2027,0.5941,0.5584,0.3119,0.5584,0.4002
4,0.6278,0.2925,0.4289,0.9054,0.5471,0.5116,0.5471,0.5131,0.8344,0.1699,0.2627,0.7018,0.5844,0.5258,0.5844,0.4698
5,0.5886,0.2978,0.4595,0.9149,0.6120,0.5869,0.6120,0.5863,0.6087,0.3968,0.4369,0.9258,0.5325,0.6108,0.5325,0.5451
6,0.5426,0.3452,0.5100,0.9192,0.5942,0.5622,0.5942,0.5670,0.5950,0.4223,0.4473,0.9442,0.7013,0.7178,0.7013,0.6924
7,0.5487,0.3389,0.5053,0.9225,0.6169,0.6006,0.6169,0.5991,0.8904,0.1913,0.3000,0.7784,0.5584,0.3119,0.5584,0.4002
8,0.5527,0.3644,0.4868,0.9214,0.6899,0.6796,0.6899,0.6735,0.6423,0.3728,0.4304,0.9087,0.4675,0.6037,0.4675,0.4636
9,0.5178,0.3706,0.5289,0.9267,0.6396,0.6245,0.6396,0.6253,0.5386,0.4785,0.4975,0.9449,0.6623,0.6999,0.6623,0.6485
10,0.4892,0.4036,0.5637,0.9314,0.6672,0.6559,0.6672,0.6546,0.8107,0.2614,0.3963,0.8742,0.6234,0.6062,0.6234,0.5225
11,0.4683,0.4020,0.5834,0.9351,0.6429,0.6301,0.6429,0.6278,0.6030,0.4091,0.4560,0.9420,0.4026,0.6423,0.4026,0.3645
12,0.4640,0.4192,0.5797,0.9360,0.6964,0.6883,0.6964,0.6894,0.5409,0.4554,0.5071,0.9475,0.6494,0.7146,0.6494,0.6541
